brand,color,full_name,price,rating
Lenovo,серый,Lenovo V14-ADA 82C6S03900,184800,297
Leap,белый,Leap T304 PT00070,97520,175
Apple,серый,Apple MacBook Air 13 MGN63,547250,311
Apple,серый,Apple MacBook Pro 13 MYD82,628550,137
Acer,черный,Acer Aspire 5 A515-45G NX.A8EER.00A,319990,26
Lenovo,серый,Lenovo IdeaPad 3 15IGL05 81WQ00EMRK,151330,36
Apple,серебристый,Apple MacBook Air 13 MGN93,552600,133
Apple,золотистый,Apple MacBook Air 13 MGND3,549990,151
Acer,черный,Acer Extensa 15 EX215-31-C4BN NX.EFTER.00G,158980,37
Acer,черный,Acer EX215-22 NX.EG9ER.02B,239980,25
Lenovo,серый,Lenovo IdeaPad 3 15ADA05 81W100RARK,163990,56
Lenovo,синий,Lenovo IdeaPad Gaming 3 15ARH05 82EY00VYRK,399700,25
Lenovo,серый,Lenovo IdeaPad 3 15ALC6 82KU002VRK,294990,2
Apple,серый,Apple MacBook Pro 14 MKGP3,1047430,47
Acer,черный,Acer Aspire 3 A315-34 NX.HE3ER.006,211740,57
HP,синий,HP Victus 16-e0000ur 488K2EA,405000,16
Lenovo,серый,Lenovo IdeaPad 3 15IGL05 81WQ00EKRK,144353,31
Apple,серый,Apple MacBook Pro 13 MNEH3,736315,3
ASUS,черный,ASUS ROG Strix G513 90NR0502-M00050,626810,26
Acer,черный,Acer Extensa 15 EX215-52 NX.EG8ER.023,218980,3
ASUS,серый,ASUS X515FA 90NB0W01-M009C0,239990,16
Apple,черный,Apple MacBook Air 13 MLY33,698990,11
Acer,черный,Acer Extensa 15 EX215-52 NX.EG8ER.00B,259980,6
HP,серый,HP VICTUS 16-d1059ci 6K317EA,599990,5
Huawei,серебристый,Huawei MateBook D15-2021 BoM-WDQ9,329890,5
Acer,черный,Acer EX215-22 NX.EG9ER.02E,248890,10
Huawei,серый,Huawei MateBook D15 BohrD-WDH9C,382770,12
ASUS,черный,ASUS Vivobook Pro 15 OLED M3500QC-L1081 90NB0UT2-M03060,700000,2
ASUS,черный,ASUS TUF FX506HC-HN105 90NR0724-M02760,539900,16
Apple,серый,Apple MacBook Pro 13 MYD92,733290,83
HP,серый,HP 15s-eq1016ur 103U4EA,292990,7
Lenovo,темно-синий,Lenovo Legion 5 17ACH6H 82JY0064RK,729990,3
Lenovo,черный,Lenovo IdeaPad Gaming 3 15ACH6 82K201QTRU,499890,1
Apple,серый,Apple MacBook Pro 16 MK193,1387415,11
ASUS,серый,ASUS P1512CEA-BQ0164 90NX05E1-M005X0,319990,2
HP,серебристый,HP 15S-FQ2111UR 5D5E5EA,299550,8
Acer,черный,Acer EX215-52 NX.EG8ER.021,239990,10
