title,shopLink,createdTime,reviewsLink,reviewsQuantity,priceFormatted,hasVariants,mods,id,currency,creditMonthlyPrice,brand,stock,loanAvailable,discount,unitSalePrice,rating,adjustedRating,categoryId,price,color,full_name
Apple MacBook Air 13 MGN63 серый,https://kaspi.kz/shop/p/apple-macbook-air-13-mgn63-seryi-100797845/?c=750000000,2020-11-30T06:05:37.120Z,https://kaspi.kz/shop/p/apple-macbook-air-13-mgn63-seryi-100797845/?c=750000000&tab=reviews,325,524 789 ₸,False,,100797845,KZT,33202.0,Apple,1,True,0,524789.0,5.0,10,00588,524789.0,серый,Apple MacBook Air 13 MGN63
Acer Extensa 15 EX215-52 NX.EG8ER.00B черный,https://kaspi.kz/shop/p/acer-extensa-15-ex215-52-nx-eg8er-00b-chernyi-105725654/?c=750000000,2022-07-22T05:28:05.727Z,https://kaspi.kz/shop/p/acer-extensa-15-ex215-52-nx-eg8er-00b-chernyi-105725654/?c=750000000&tab=reviews,13,257 990 ₸,False,,105725654,KZT,16323.0,Acer,1,True,0,257990.0,5.0,10,00588,257990.0,черный,Acer Extensa 15 EX215-52 NX.EG8ER.00B
Apple MacBook Pro 13 MYD82 серый,https://kaspi.kz/shop/p/apple-macbook-pro-13-myd82-seryi-100797630/?c=750000000,2020-11-30T05:40:59.999Z,https://kaspi.kz/shop/p/apple-macbook-pro-13-myd82-seryi-100797630/?c=750000000&tab=reviews,138,620 689 ₸,False,,100797630,KZT,39269.0,Apple,1,True,0,620689.0,5.0,10,00588,620689.0,серый,Apple MacBook Pro 13 MYD82
Lenovo V14-ADA 82C6S03900 серый,https://kaspi.kz/shop/p/lenovo-v14-ada-82c6s03900-seryi-101128764/?c=750000000,2021-03-03T12:20:13.680Z,https://kaspi.kz/shop/p/lenovo-v14-ada-82c6s03900-seryi-101128764/?c=750000000&tab=reviews,304,198 950 ₸,False,,101128764,KZT,12587.0,Lenovo,1,True,0,198950.0,5.0,10,00588,198950.0,серый,Lenovo V14-ADA 82C6S03900
Apple MacBook Air 13 MGN93 серебристый,https://kaspi.kz/shop/p/apple-macbook-air-13-mgn93-serebristyi-100798912/?c=750000000,2020-11-30T10:08:16.354Z,https://kaspi.kz/shop/p/apple-macbook-air-13-mgn93-serebristyi-100798912/?c=750000000&tab=reviews,140,532 579 ₸,False,,100798912,KZT,33695.0,Apple,1,True,0,532579.0,5.0,10,00588,532579.0,серебристый,Apple MacBook Air 13 MGN93
Lenovo IdeaPad Gaming 3 I585SGN-82K1015LRK черный,https://kaspi.kz/shop/p/lenovo-ideapad-gaming-3-i585sgn-82k1015lrk-chernyi-106786872/?c=750000000,2022-10-10T07:51:59.465Z,https://kaspi.kz/shop/p/lenovo-ideapad-gaming-3-i585sgn-82k1015lrk-chernyi-106786872/?c=750000000&tab=reviews,0,459 990 ₸,False,,106786872,KZT,29102.0,Lenovo,1,True,0,459990.0,4.5,9,00588,459990.0,черный,Lenovo IdeaPad Gaming 3 I585SGN-82K1015LRK
Leap T304 PT00070 белый,https://kaspi.kz/shop/p/leap-t304-pt00070-belyi-100786471/?c=750000000,2020-11-26T02:40:31.036Z,https://kaspi.kz/shop/p/leap-t304-pt00070-belyi-100786471/?c=750000000&tab=reviews,183,119 395 ₸,False,,100786471,KZT,7554.0,Leap,1,True,0,119395.0,5.0,10,00588,119395.0,белый,Leap T304 PT00070
Acer Extensa 15 EX215-31-C4BN NX.EFTER.00G черный,https://kaspi.kz/shop/p/acer-extensa-15-ex215-31-c4bn-nx-efter-00g-chernyi-102274280/?c=750000000,2021-09-14T06:52:35.496Z,https://kaspi.kz/shop/p/acer-extensa-15-ex215-31-c4bn-nx-efter-00g-chernyi-102274280/?c=750000000&tab=reviews,39,150 000 ₸,False,,102274280,KZT,9490.0,Acer,1,True,0,150000.0,4.5,9,00588,150000.0,черный,Acer Extensa 15 EX215-31-C4BN NX.EFTER.00G
ASUS TUF Gaming F15 FX506HE 90NR0704-M02050 черный,https://kaspi.kz/shop/p/asus-tuf-gaming-f15-fx506he-90nr0704-m02050-chernyi-101686647/?c=750000000,2021-06-18T14:22:27.547Z,https://kaspi.kz/shop/p/asus-tuf-gaming-f15-fx506he-90nr0704-m02050-chernyi-101686647/?c=750000000&tab=reviews,15,529 990 ₸,False,,101686647,KZT,33531.0,ASUS,1,True,0,529990.0,5.0,10,00588,529990.0,черный,ASUS TUF Gaming F15 FX506HE 90NR0704-M02050
Lenovo IdeaPad 3 15ALC6 82KU002VRK серый,https://kaspi.kz/shop/p/lenovo-ideapad-3-15alc6-82ku002vrk-seryi-106408979/?c=750000000,2022-09-12T05:39:28.035Z,https://kaspi.kz/shop/p/lenovo-ideapad-3-15alc6-82ku002vrk-seryi-106408979/?c=750000000&tab=reviews,4,294 990 ₸,False,,106408979,KZT,18663.0,Lenovo,1,True,0,294990.0,5.0,10,00588,294990.0,серый,Lenovo IdeaPad 3 15ALC6 82KU002VRK
Acer EX215-22 NX.EG9ER.02B черный,https://kaspi.kz/shop/p/acer-ex215-22-nx-eg9er-02b-chernyi-105605385/?c=750000000,2022-07-12T14:09:52.175Z,https://kaspi.kz/shop/p/acer-ex215-22-nx-eg9er-02b-chernyi-105605385/?c=750000000&tab=reviews,26,284 990 ₸,False,,105605385,KZT,18031.0,Acer,1,True,0,284990.0,5.0,10,00588,284990.0,черный,Acer EX215-22 NX.EG9ER.02B
HP 15s-fq5044ci 6M880EA серебристый,https://kaspi.kz/shop/p/hp-15s-fq5044ci-6m880ea-serebristyi-106242615/?c=750000000,2022-08-27T06:54:58.940Z,https://kaspi.kz/shop/p/hp-15s-fq5044ci-6m880ea-serebristyi-106242615/?c=750000000&tab=reviews,3,399 990 ₸,False,,106242615,KZT,25306.0,HP,1,True,0,399990.0,5.0,10,00588,399990.0,серебристый,HP 15s-fq5044ci 6M880EA
