title,shopLink,createdTime,reviewsLink,reviewsQuantity,priceFormatted,hasVariants,mods,id,currency,creditMonthlyPrice,brand,stock,loanAvailable,discount,unitSalePrice,rating,adjustedRating,categoryId,price,color,full_name
Apple MacBook Air 13 MGN63 серый,https://kaspi.kz/shop/p/apple-macbook-air-13-mgn63-seryi-100797845/?c=750000000,2020-11-30T06:05:37.120Z,https://kaspi.kz/shop/p/apple-macbook-air-13-mgn63-seryi-100797845/?c=750000000&tab=reviews,344.0,486 270 ₸,False,,100797845,KZT,30765.0,Apple,1,True,0,486270.0,5.0,10,00588,486270.0,серый,Apple MacBook Air 13 MGN63
Apple MacBook Air 13 MGN93 серебристый,https://kaspi.kz/shop/p/apple-macbook-air-13-mgn93-serebristyi-100798912/?c=750000000,2020-11-30T10:08:16.354Z,https://kaspi.kz/shop/p/apple-macbook-air-13-mgn93-serebristyi-100798912/?c=750000000&tab=reviews,149.0,494 420 ₸,False,,100798912,KZT,31281.0,Apple,1,True,0,494420.0,5.0,10,00588,494420.0,серебристый,Apple MacBook Air 13 MGN93
ASUS TUF Gaming A15 FA506IHRB-HN082 90NR07G7-M008E0 черный,https://kaspi.kz/shop/p/asus-tuf-gaming-a15-fa506ihrb-hn082-90nr07g7-m008e0-chernyi-105681649/?c=750000000,2022-07-19T06:16:23.229Z,https://kaspi.kz/shop/p/asus-tuf-gaming-a15-fa506ihrb-hn082-90nr07g7-m008e0-chernyi-105681649/?c=750000000&tab=reviews,13.0,399 990 ₸,False,,105681649,KZT,25306.0,ASUS,1,True,0,399990.0,5.0,10,00588,399990.0,черный,ASUS TUF Gaming A15 FA506IHRB-HN082 90NR07G7-M008E0
Acer Nitro 5 AN515-57 NH.QEKER.004 черный,https://kaspi.kz/shop/p/acer-nitro-5-an515-57-nh-qeker-004-chernyi-108194028/?c=750000000,2022-12-22T06:20:04.082Z,https://kaspi.kz/shop/p/acer-nitro-5-an515-57-nh-qeker-004-chernyi-108194028/?c=750000000&tab=reviews,7.0,419 990 ₸,False,,108194028,KZT,26572.0,Acer,1,True,0,419990.0,5.0,10,00588,419990.0,черный,Acer Nitro 5 AN515-57 NH.QEKER.004
Acer Nitro 5 AN515-45 NH.QB9ER.004 черный,https://kaspi.kz/shop/p/acer-nitro-5-an515-45-nh-qb9er-004-chernyi-107535784/?c=750000000,2022-11-18T10:05:01.075Z,https://kaspi.kz/shop/p/acer-nitro-5-an515-45-nh-qb9er-004-chernyi-107535784/?c=750000000&tab=reviews,8.0,399 990 ₸,False,,107535784,KZT,25306.0,Acer,1,True,0,399990.0,4.5,9,00588,399990.0,черный,Acer Nitro 5 AN515-45 NH.QB9ER.004
Lenovo IdeaPad 3 15ADA05 81W1016NRK черный,https://kaspi.kz/shop/p/lenovo-ideapad-3-15ada05-81w1016nrk-chernyi-104422750/?c=750000000,2022-04-12T06:13:26.831Z,https://kaspi.kz/shop/p/lenovo-ideapad-3-15ada05-81w1016nrk-chernyi-104422750/?c=750000000&tab=reviews,8.0,169 990 ₸,False,,104422750,KZT,10755.0,Lenovo,1,True,0,169990.0,5.0,10,00588,169990.0,черный,Lenovo IdeaPad 3 15ADA05 81W1016NRK
Acer Extensa 15 EX215-52 NX.EG8ER.00B черный,https://kaspi.kz/shop/p/acer-extensa-15-ex215-52-nx-eg8er-00b-chernyi-105725654/?c=750000000,2022-07-22T05:28:05.727Z,https://kaspi.kz/shop/p/acer-extensa-15-ex215-52-nx-eg8er-00b-chernyi-105725654/?c=750000000&tab=reviews,22.0,299 990 ₸,False,,105725654,KZT,18980.0,Acer,1,True,0,299990.0,5.0,9,00588,299990.0,черный,Acer Extensa 15 EX215-52 NX.EG8ER.00B
Acer Extensa EX215-52-31EB NX.EG8ER.021 черный,https://kaspi.kz/shop/p/acer-extensa-ex215-52-31eb-nx-eg8er-021-chernyi-105725685/?c=750000000,2022-07-22T05:31:14.420Z,https://kaspi.kz/shop/p/acer-extensa-ex215-52-31eb-nx-eg8er-021-chernyi-105725685/?c=750000000&tab=reviews,7.0,238 000 ₸,False,,105725685,KZT,15058.0,Acer,1,True,0,238000.0,5.0,9,00588,238000.0,черный,Acer Extensa EX215-52-31EB NX.EG8ER.021
Lenovo IdeaPad 3 15IGL05 81WQ00EKRK серый,https://kaspi.kz/shop/p/lenovo-ideapad-3-15igl05-81wq00ekrk-seryi-102811758/?c=750000000,2021-11-08T06:31:27.584Z,https://kaspi.kz/shop/p/lenovo-ideapad-3-15igl05-81wq00ekrk-seryi-102811758/?c=750000000&tab=reviews,33.0,148 000 ₸,False,,102811758,KZT,9364.0,Lenovo,1,True,0,148000.0,5.0,9,00588,148000.0,серый,Lenovo IdeaPad 3 15IGL05 81WQ00EKRK
Apple MacBook Air 13 MGND3 золотистый,https://kaspi.kz/shop/p/apple-macbook-air-13-mgnd3-zolotistyi-100797576/?c=750000000,2020-11-30T05:35:44.608Z,https://kaspi.kz/shop/p/apple-macbook-air-13-mgnd3-zolotistyi-100797576/?c=750000000&tab=reviews,157.0,486 780 ₸,False,,100797576,KZT,30797.0,Apple,1,True,0,486780.0,5.0,10,00588,486780.0,золотистый,Apple MacBook Air 13 MGND3
Lenovo IdeaPad 1 14IGL05 81VU00H3RU серый,https://kaspi.kz/shop/p/lenovo-ideapad-1-14igl05-81vu00h3ru-seryi-108464874/?c=750000000,2023-01-16T08:40:47.978Z,https://kaspi.kz/shop/p/lenovo-ideapad-1-14igl05-81vu00h3ru-seryi-108464874/?c=750000000&tab=reviews,1.0,139 990 ₸,False,,108464874,KZT,8857.0,Lenovo,1,True,0,139990.0,4.0,7,00588,139990.0,серый,Lenovo IdeaPad 1 14IGL05 81VU00H3RU
Apple MacBook Pro 13 MYD82 серый,https://kaspi.kz/shop/p/apple-macbook-pro-13-myd82-seryi-100797630/?c=750000000,2020-11-30T05:40:59.999Z,https://kaspi.kz/shop/p/apple-macbook-pro-13-myd82-seryi-100797630/?c=750000000&tab=reviews,146.0,680 000 ₸,False,,100797630,KZT,43022.0,Apple,1,True,0,680000.0,5.0,10,00588,680000.0,серый,Apple MacBook Pro 13 MYD82
ASUS TUF Gaming A15 FA506IHRB-HN084 90NR07G7-M008C0 черный,https://kaspi.kz/shop/p/asus-tuf-gaming-a15-fa506ihrb-hn084-90nr07g7-m008c0-chernyi-106255184/?c=750000000,2022-08-30T08:30:44.804Z,https://kaspi.kz/shop/p/asus-tuf-gaming-a15-fa506ihrb-hn084-90nr07g7-m008c0-chernyi-106255184/?c=750000000&tab=reviews,7.0,389 990 ₸,False,,106255184,KZT,24674.0,ASUS,1,True,0,389990.0,5.0,10,00588,389990.0,черный,ASUS TUF Gaming A15 FA506IHRB-HN084 90NR07G7-M008C0
